ID,Species,Extraction,Preparation,species_Extraction_Preparation,Class,ID (samples as rows),zymosterol,xylose,xylonic acid,valine,urea,tyrosine,tyramine,tryptophan,trehalose,"trans-3,5-dimethoxy-4-hydroxycinnamaldehyde",tocopherol beta NIST,tocopherol alpha,threonine,threonic acid,threitol,tagatose,sulfuric acid,sucrose,succinic acid,succinate semialdehyde,suberyl glycine,stigmasterol,stearic acid,squalene,spermidine,sorbitol,sophorose,shikimic acid,serine,ribose,ribonic acid,ribitol,raffinose,quinic acid,pyrophosphate,"pyrazine 2,5-dihydroxy  NIST",putrescine,"propane-1,3-diol NIST",phytol,phosphoric acid,phenylethylamine,phenylethanol NIST ,phenylalanine,pentitol,pelargonic acid,pantothenic acid,palmitic acid,oxoproline,oxalic acid,oleic acid,N-methylalanine,nicotianamine,N-acetylmannosamine,N-acetyl-D-hexosamine,myristic acid,mucic acid,methionine,methanolphosphate,melibiose,melezitose,mannonic acid NIST,mannitol,maltotriose,maltose,malonic acid,malic acid,maleimide,maleic acid,lyxose,lysine,linolenic acid,linoleic acid,levoglucosan,leucine,lauric acid,lanosterol,lactic acid,isothreonic acid,isoleucine,isocitric acid,isochlorogenic acid,myo-inositol ,idonic acid NIST,hydroxylamine,homoserine,2-deoxyhexose ,glycolic acid,glycine,glycerol-alpha-phosphate,glycerol-3-galactoside,glycerol,glycero-guloheptose NIST,glyceric acid,glutamine,glutamic acid,glucose-6-phosphate,glucose-1-phosphate,glucose,gluconic acid lactone,glucoheptulose,galacturonic acid,galactose-6-phosphate,galactonic acid,galactinol,GABA,fumaric acid,fucose + rhamnose,fructose-6-phosphate,fructose,ferulic acid,FAD,ethanolamine,erythronic acid lactone,erythritol,dehydroascorbic acid,cysteine-glycine,cysteine,cystathionine,conduritol beta expoxide,citrulline,citric acid,cis-caffeic acid,cholesterol,chlorogenic acid,cellobiotol,capric acid,caffeic acid,butyrolactam NIST,beta-sitosterol,beta-gentiobiose,beta-alanine,benzylalcohol,benzoic acid,aspartic acid,asparagine,ascorbic acid,arabitol,arabinose,alpha ketoglutaric acid,alanine,aconitic acid,6-deoxyglucitol NIST,4-hydroxycinnamic acid,3-hydroxypropionic acid,2-ketoglucose dimethylacetal NIST,1-monostearin,1-monopalmitin,"1,2-anhydro-myo-inositol NIST",215062,940565,940566,211896,352777,296119,236870,211891,924293,712789,924166,202834,940545,233017,204157,199338,446633,207750,214680,940567,374786,236013,214528,310489,940546,374912,202841,310240,940625,202579,940547,211895,199433,199203,231058,231576,200844  carbohydrate,199464,202088,202095,940549,703265,940568,202293,940548,328506,618185,202856,218829,466968,504547,225393,211991,228915,200457,241947,940576,326867 carbohydrate,446955,218447,438061,208656,338773,199204,212273,703116,204167,205680,208812,200490,213182,329576,352812,223121,231207,940551,237562,460930,223120,940550,200420,940563,275608,323686,211965,218730,288368,408731,299427,940552,940553,199220,208845 carbohydrate,203235,537786,506930,237603,202737,212022,919246,231210 disaccharide
1,pumpkin,100% MeOH , fresh frozen,pumpkin_100% MeOH _ fresh frozen,1,P13,88,4571,693,15379,850,3729,7519,12667,40574,81,259,11769,6729,49951,723,625,57,396295,3634,225,364,448,20689,506,167,1483,1415,17967,42283,480,531,642,216605,57,459,89,858,2452,33990,1349,103,30,2805,2135,3628,1498,9156,68626,2999,1310,986,544,13404,8212,1900,52,1164,2363,830,830,144,5237,521,32945,956,26158,205,711443,352,303,43705,875,493,4843,57633,1035,1989,3712,9813,3048,214,161495,210,401,2038,910,585,5680,3783,82901,21987,2705,162358,7250,192235,595,2524,17678,175,1007,66,140,348,717988,102673,101638,7825,454,35783,335,222,77538,18056,93,1504,71,3631,2195,15,73,71669,405,26116,292,847,4849,6048,2254,1433,70,140,481,1409,75327,1841,39,197,2498,2450,95004,2118,973,875,1014,5458,2306,5279,2039,12332,562,245,69387,2530,120,85,4696,12672,6462,6718,34962,39046,1129,42071,5579,11141,173,7549,104,5456,68475,9349,24372,39846,16500,725,256,5415,21368,105098,22752,1330,21437,131,798,4259,8688,3584,19583,23967,3318,1184,969,16113,388,203,2568,166,2979,13966,22688,5841,809,5958,491,448,3228,9490,14045,13688,2965,1674,28305,26417,1703,10791,3417,10428,3178,13197,2471,2843,1536,10877,11710,10167,6061,3844,8476,7861,2272,15714,17836,1330,4009,8220,10067,1330,6804,6497,19379,1222,45,15366,1751,2640,2564,86,11212,268
2,pumpkin,100% MeOH , fresh frozen,pumpkin_100% MeOH _ fresh frozen,1,P14,96,4260,1114,15556,1152,4536,7110,22280,34680,101,194,9320,3667,53427,962,767,60,376880,3655,244,434,301,27059,494,60,1472,779,16815,34715,212,605,5291,116303,105,622,41,839,2901,36428,1901,167,89,2565,2269,5316,1317,9916,66059,4822,1226,1051,836,16909,9336,1896,74,1075,2614,719,384,96,4027,469,41926,931,73875,179,771189,375,331,47002,1169,565,4935,47889,1169,2661,4830,9762,3511,201,167970,146,409,2222,967,542,6230,3924,93896,25116,3064,241376,10783,209328,776,1994,8450,130,994,65,250,170,618817,71645,95808,2729,534,30042,360,309,73498,15996,75,1905,42,6646,3764,31,59,85905,355,29146,276,2810,4486,6120,1867,1204,70,71,462,1670,91681,1991,114,135,3470,2710,89846,2095,1687,647,1405,3400,2630,5532,917,13163,367,239,62297,2955,159,67,4927,13988,4026,7238,32508,43719,1235,46354,9241,17095,132,7403,159,3756,93306,9768,21725,101025,23751,1316,162,4302,16372,183821,24788,897,19178,109,257,1596,13601,2752,17703,55285,2479,1099,1866,17978,532,247,2415,206,997,12967,25381,5582,676,5986,15313,275,3166,11038,13072,16969,3062,1857,24440,25208,1251,12208,4779,10037,3377,14193,2636,3481,1526,11587,25936,9412,8591,4680,10280,9315,5780,22705,16699,1186,4490,6368,11727,1186,22814,8118,17143,1912,32,1661,501,2805,2675,47,12103,84
3,pumpkin,100% MeOH , fresh frozen,pumpkin_100% MeOH _ fresh frozen,1,P15,52,4501,646,16627,1379,3160,8103,2497,44333,114,207,12665,7233,69585,789,763,39,320569,4161,243,227,214,25661,623,223,1562,1252,14584,39528,357,584,3124,212278,134,413,77,751,2467,30766,2357,114,87,3208,1889,3974,1153,10441,55611,5528,736,926,482,13102,8200,2009,17,1435,1279,391,712,106,5567,507,27604,894,71837,203,743359,864,318,51326,267,538,5130,51776,1043,2003,4134,10737,2678,103,161833,186,315,1109,886,724,7473,3703,74889,19758,2445,204460,5924,208676,342,3732,16249,128,940,23,94,340,617560,119971,88302,2417,302,93805,344,295,76485,19951,73,1703,24,376,542,28,192,69030,461,29004,186,498,4457,5759,2660,401,203,110,193,1267,79041,1682,214,136,889,2351,100893,2262,997,869,1068,6877,113,613,1140,10855,270,193,82757,549,118,225,6286,9999,5136,6512,32282,43864,1080,57461,5104,13634,336,6232,80,10586,22394,5980,23309,13362,17837,3169,194,5547,12867,22554,24240,1572,23505,1530,373,3214,2555,3418,37503,10829,3714,1192,2106,15034,407,184,2259,218,848,12173,67,5293,660,4974,303,890,3085,8342,12278,12982,2377,577,19728,33803,1839,9301,5191,9541,3236,18595,2357,3066,1214,9155,5517,9863,6864,3631,8228,8542,1129,5695,14433,1204,3765,7763,140,1204,4323,8540,13185,1130,102,5438,1005,456,1213,31,9155,145
4,pumpkin,100% MeOH , fresh frozen,pumpkin_100% MeOH _ fresh frozen,1,P16,59,4524,810,15180,1383,3565,5575,2788,36837,97,189,13897,7387,85831,1528,693,23,327768,3102,281,299,217,22459,516,53,1937,1258,14766,40099,42,706,594,220979,92,276,66,434,2265,33424,1503,80,28,2354,1835,4135,1443,10008,52267,4133,652,742,707,15546,9730,1583,24,1389,1483,774,722,134,8063,452,31960,1377,101199,296,610253,466,266,68703,251,431,4536,42974,1149,1633,4552,9401,2281,181,167787,94,285,815,808,744,7805,3501,82363,23197,3008,239033,7855,195573,339,2164,45419,279,1137,96,53,409,541408,216544,69870,6970,261,142928,325,294,55517,9442,108,6568,29,10559,529,20,277,54518,404,30468,139,775,4184,6747,4325,702,102,27,127,1390,73145,1764,103,139,1155,1830,90446,1430,1058,814,965,462,81,573,4965,12352,549,217,33171,507,251,99,5713,11779,8676,6980,32330,45636,1108,23327,7188,10086,163,6012,144,34022,19536,7098,25321,18609,20515,1322,198,4274,8902,19079,25913,1593,20668,109,628,3880,2484,3059,36896,11820,3051,962,1795,18128,931,339,2309,174,384,12683,18,5510,566,5735,360,1063,3082,13969,12678,12740,2720,2362,29307,12222,1566,12058,5893,9056,2914,7342,2706,3428,1362,10607,6295,9547,10118,4638,9943,8902,986,4430,14570,1079,3981,7226,84,1079,4693,9645,21430,1050,35,1536,1242,292,1005,55,8298,186
5,pumpkin,100% MeOH , fresh frozen,pumpkin_100% MeOH _ fresh frozen,1,P17,95,3688,1162,18938,1324,3889,7559,3087,57382,121,270,19656,10874,91621,938,728,37,353047,2911,241,322,433,23042,608,167,1741,863,14246,73108,361,711,3813,237711,224,547,92,695,2165,36048,2811,125,46,2583,2160,3970,408,9878,72807,6943,770,804,992,11433,8003,1982,32,1968,1533,507,953,143,3945,847,38255,2236,143416,242,217902,519,469,76150,352,718,5508,47079,1319,3698,4573,12896,2580,145,203268,140,369,1206,1029,863,8113,5120,102076,26228,3618,163911,11576,263382,492,3022,10561,140,1356,109,173,606,825769,114054,47756,2621,436,57509,366,309,78901,18506,114,3169,47,535,977,36,159,71176,299,55999,486,1780,4613,4753,1882,368,81,139,257,1850,99211,2963,226,143,1810,3113,86013,1702,1203,667,1090,6107,257,1034,888,16825,1963,1416,61027,1062,612,379,9395,13193,10894,9324,42357,91633,1713,65788,11204,20003,511,6611,185,9303,35609,9030,30869,41314,21673,4732,493,7135,2222,33124,29377,899,35651,384,1001,3417,3835,5137,41359,18616,5442,2108,2865,34612,491,282,3113,199,1019,14215,130,7104,1182,6276,941,811,4277,16285,13969,11539,3279,847,15955,34236,3227,12874,11259,10966,4258,20816,3391,2703,1849,13008,8231,13139,11139,3785,9805,10511,1833,3884,14104,1797,4175,11622,164,1797,7268,11741,12527,1827,191,2194,1733,761,1466,46,6832,133
6,pumpkin,100% MeOH , fresh frozen,pumpkin_100% MeOH _ fresh frozen,1,P18,82,4121,1199,16851,2238,3661,7892,2443,50386,119,180,12023,10843,70723,882,702,50,424471,3214,299,193,335,25656,809,85,2316,1496,14473,58122,509,904,3789,213556,62,517,90,646,2583,39443,1443,133,45,2451,2148,3885,1701,11242,80152,5646,926,907,981,13256,8360,2146,122,1505,1614,673,595,159,7596,576,32763,1105,108503,177,504935,317,383,63557,286,606,5296,61926,1214,1968,4435,12000,2693,234,182344,225,329,1219,987,691,8571,4906,96776,25486,2925,149593,8419,248114,494,2557,17192,158,1180,32,141,207,652596,90863,77789,2747,406,83565,413,363,70120,17677,128,3105,116,5579,748,20,202,53945,382,29541,238,1535,5191,5683,2457,741,67,149,283,1570,89343,2344,101,167,856,3329,76986,2123,894,975,900,7114,339,1145,1782,14261,307,265,70383,630,189,146,8340,14524,6624,8133,40534,44325,1540,67396,9054,20763,175,6619,162,4665,25557,6598,26773,28786,23051,4259,205,6164,9650,29566,26525,1065,22583,124,952,2382,3148,4309,32749,13742,4055,1494,2293,17451,424,189,2562,249,580,14082,573,6706,868,6327,576,409,3387,14184,13864,15026,3303,1175,21075,35195,2045,12856,7970,11390,4180,21770,2574,2835,1726,12184,6680,13002,12320,4470,9130,11051,1781,10216,14428,1359,4132,10032,234,1359,5881,10280,15511,1307,46,1795,1439,739,1911,80,13878,138
7,pumpkin,ACN:IPA:H2O (3:3:2) , fresh frozen,pumpkin_ACN:IPA:H2O (3:3:2) _ fresh frozen,2,P01,41,5243,1954,22837,2688,7386,13107,2664,81293,121,579,14216,8439,81197,1861,3136,19,307673,4892,267,799,334,18085,527,458,13230,1250,15266,122024,766,1700,7755,408259,923,1209,475,3801,1832,33899,2233,137,59,3661,2620,3016,2957,7578,108464,5240,707,794,1426,13362,8548,1510,232,1229,48,1029,1067,523,25999,877,24752,2219,144951,372,553015,567,1453,38076,225,788,8099,45238,1182,1826,9235,14009,5642,520,237490,603,331,1055,1042,863,13341,5422,32290,22448,2933,467469,18225,349394,1554,3757,20839,151,1027,320,304,831,927843,143491,63125,3335,1168,133640,875,575,90860,23552,3282,4735,115,694,970,183,357,72482,1021,26294,1632,1280,4107,14775,1972,2289,2894,387,148,1414,151820,4772,165,511,1965,3215,107776,4703,1325,1335,1183,2088,180,532,2650,13379,267,170,43917,639,353,279,6118,115775,13756,90701,32522,38832,2940,77492,25917,19606,1526,7738,131,8851,28942,9802,29110,23422,46187,3393,350,32092,9476,34060,32145,650,35460,743,1006,7325,3455,24456,14938,20038,25964,1909,1061,15177,376,281,1849,144,796,24376,221,6399,867,5406,1024,879,3874,9438,24337,9897,16064,890,968,9717,17269,11343,24899,10403,5149,25767,2768,2870,1760,11183,9111,9885,10607,4814,6947,13812,10557,5187,15108,1525,3595,10986,190,1525,6551,7349,1154,2003,44,2027,1749,301,1225,40,6399,448
8,pumpkin,ACN:IPA:H2O (3:3:2) , fresh frozen,pumpkin_ACN:IPA:H2O (3:3:2) _ fresh frozen,2,P02,100,7002,1708,19660,2661,4536,10874,2480,53279,176,578,14245,7812,78426,915,696,73,217943,5970,281,601,275,30858,333,461,2557,1121,23018,75610,781,1326,9185,436361,229,1563,572,3166,2262,34274,2807,177,58,3376,2949,2236,2728,9270,116694,5029,807,621,2283,21089,12525,1683,177,1016,25,822,1132,434,8148,741,21935,1793,70328,406,921470,674,1192,33004,267,1010,6193,47939,1251,2466,8177,12675,5553,389,226627,712,292,1305,1109,768,12509,5444,33278,22152,5011,309711,13512,345657,1315,4266,32346,346,1811,209,274,803,922435,93358,122016,11448,995,161401,1117,333,91289,22204,103,3502,110,557,1071,18,258,83590,1198,37611,1773,1429,3288,15368,1859,1617,155,277,176,1032,132734,3850,111,90,1410,3053,87062,5476,1362,1417,1144,3494,95,638,3457,17998,668,365,70444,770,363,153,5098,119696,8328,98668,45081,59460,462,66862,23355,16995,1512,8557,141,13241,35128,11380,33123,33407,48190,3341,371,36854,26224,33214,32028,796,25557,943,1012,5087,3857,24637,20472,25386,30730,1792,1238,26142,627,209,4114,241,2236,23488,95,7453,1052,7119,11624,438,4192,10517,23675,13016,17660,1185,1311,12947,18671,12789,9385,12643,4514,22018,3571,4516,2257,13046,12269,11491,10100,5522,11131,13545,12137,15427,22875,1476,4030,10251,94,1476,8578,9638,865,1536,48,28122,950,453,1252,46,7797,348
9,pumpkin,ACN:IPA:H2O (3:3:2) , fresh frozen,pumpkin_ACN:IPA:H2O (3:3:2) _ fresh frozen,2,P03,110,4359,2429,20091,1557,4978,15018,1951,59334,148,600,13510,9450,78715,1064,760,28,208951,5560,102,895,456,29651,505,397,2787,1348,19182,79882,404,1471,12869,457469,122,1721,445,2925,2137,40476,2647,142,74,3514,2682,5550,2873,8815,120358,7593,1390,830,1783,13155,8260,1822,207,1144,20,1532,1227,525,7722,739,25470,1779,109119,352,779459,452,948,44091,768,732,6522,55628,1606,2326,9123,12627,5385,540,227301,588,317,855,586,650,13515,7727,34701,24913,3580,339312,14938,361582,1923,3963,14752,193,1271,221,419,825,977609,100019,115570,3039,1455,97331,988,408,86707,21820,128,3137,124,588,875,49,303,88143,1099,38946,1961,1388,4391,15667,2048,935,139,303,343,1191,157226,3473,240,157,1910,4036,88267,5111,1346,1567,1423,2758,2101,4665,1802,15598,536,325,52834,2610,236,97,5649,142131,10653,107068,35507,62608,1728,77373,29564,13539,1164,9013,188,6110,35239,10824,31413,37828,47700,3398,323,38886,22160,29014,32803,581,31570,682,898,3511,3609,27995,18492,22750,29745,1747,1211,23726,689,287,2321,154,1414,23444,21610,7137,957,6518,889,1304,4196,7374,23669,11765,20529,1553,1691,13734,18583,12260,7302,12094,4711,25641,3097,2966,2026,12438,9462,10932,10701,5263,10807,15051,9563,23871,18994,1513,3783,10754,9406,1513,6217,10684,1483,1620,51,2067,1927,2330,2879,62,7564,247
10,pumpkin,ACN:IPA:H2O (3:3:2) , fresh frozen,pumpkin_ACN:IPA:H2O (3:3:2) _ fresh frozen,2,P04,45,3165,1526,23478,1590,4508,11087,2782,73628,114,485,14771,13036,79967,1238,674,25,190587,4823,197,982,221,28938,646,517,2010,1514,22622,115662,753,1457,975,367019,155,1511,668,3218,2378,36760,2036,131,53,4190,3521,3774,3344,10210,114082,7044,861,865,2731,14841,9161,1708,160,1817,520,765,1249,475,10230,697,30715,1932,189927,330,595574,394,958,57644,276,502,7114,45846,1085,2388,8550,15891,6407,451,262711,555,343,1287,132,1150,12730,6071,50390,23113,3878,242953,15293,446266,1360,3113,12756,116,1484,185,320,997,1067548,111942,84410,8646,1021,84231,1017,567,122837,19507,124,1360,110,611,1275,31,385,108078,1263,26080,1580,1124,3975,17567,2304,1406,170,290,163,1299,168648,4252,136,200,2211,3447,103930,6029,1013,1185,1422,2931,80,649,1391,16668,423,274,68178,792,231,78,8048,107720,13122,87845,46425,38615,1314,76271,17475,20080,3176,10153,177,7126,39817,11583,29318,33710,43114,4109,305,31471,10242,45714,34211,830,31388,1486,1138,4918,5496,21700,17537,33550,27052,1707,1268,16281,937,268,3370,198,1421,24200,18,7708,1130,7042,924,1306,4265,10651,24021,12264,15395,2863,1600,12986,15774,14144,7582,13714,4582,24668,2739,3182,2096,14353,13304,15736,11891,5334,9996,14564,12252,6987,22404,1666,3910,10195,177,1666,10630,7834,1077,1380,17,2158,2745,551,1002,78,7402,240
11,pumpkin,ACN:IPA:H2O (3:3:2) , fresh frozen,pumpkin_ACN:IPA:H2O (3:3:2) _ fresh frozen,2,P05,129,4693,2563,23019,2560,4132,14541,2470,76462,124,711,17961,13851,83879,1529,559,34,214313,3521,153,601,427,32910,592,665,4503,1272,20198,125188,887,1898,870,453202,86,2462,737,2944,2200,34498,2635,155,76,4167,3587,4156,3431,7483,150978,11929,754,824,2505,15902,8172,1693,344,1625,24,1250,1612,716,9523,759,17596,3679,293373,453,318406,549,954,1864,150,1366,6314,48469,1617,2404,9636,14762,9379,1363,280363,736,427,1481,357,1262,10499,9362,9727,17428,3664,338225,23085,445502,2160,3462,9413,131,1353,233,466,1184,1150645,100338,35549,3239,1415,74980,763,673,68521,26421,171,4817,187,927,1178,134,312,122985,825,41149,2507,1929,5446,15547,1480,1673,185,312,406,1615,177412,5174,260,26,2319,2595,84186,4732,2443,890,1591,1235,262,573,1442,17525,496,258,26990,698,189,24,7427,190231,24416,185386,42117,64069,1595,100423,40910,8355,2361,9759,208,8599,34235,10262,35765,44774,52148,3902,331,43711,3525,39309,31210,370,32835,775,1087,4108,4168,31591,10504,32260,39262,1673,1276,25929,1330,419,2567,223,1672,27914,161,7955,1049,6754,270,474,4221,7784,27789,11845,22760,2994,1516,12628,26391,13368,18291,13592,5226,33149,3093,4276,2310,14273,11528,14268,9219,6242,11873,17153,15582,5762,20182,1720,4403,12423,242,1720,12333,7574,1653,1703,108,2116,1192,374,2011,87,6788,155
12,pumpkin,ACN:IPA:H2O (3:3:2) , fresh frozen,pumpkin_ACN:IPA:H2O (3:3:2) _ fresh frozen,2,P06,30,3624,2239,21346,1840,5397,9467,2648,64636,126,554,16249,11192,90633,1299,725,34,231355,5205,293,723,302,32925,510,522,2919,1346,3717,82977,508,1474,9660,423430,147,1088,544,3853,2385,37480,2411,93,57,4307,4148,3071,2981,9809,106780,5045,675,616,1765,15333,9391,1410,127,1582,28,685,1576,460,3486,762,27506,2053,122397,331,695917,599,1105,50298,255,705,6366,39275,1121,1559,9165,13707,7104,482,268547,514,375,1696,1476,862,10802,5680,51254,18847,3769,428665,14418,390430,1304,4353,16016,160,1372,224,301,923,996152,105460,93884,6675,1056,64649,1105,545,115364,1390,131,1338,71,652,1361,24,275,75531,1541,28078,1510,1540,2987,21520,2249,2034,143,255,186,1132,151471,3981,177,46,1744,2257,73865,6127,945,1540,1030,3294,276,907,459,16569,491,312,67417,801,312,106,6142,103472,13291,78342,42748,42434,602,75868,30147,38195,2196,8806,170,10661,36179,10741,32204,25807,48823,3666,319,29417,14954,48594,33781,600,32035,958,1090,5223,5069,20506,20387,30930,22730,1825,2843,17843,358,375,3326,216,1094,25562,317,7197,1033,6535,6986,1125,4155,11309,25701,12081,14488,2075,2250,12720,14561,14432,10844,12340,4704,24829,3126,3227,2166,13909,12332,11997,10646,5882,9436,15840,10041,3881,20180,1633,3979,11623,265,1633,8682,7250,1587,1530,61,2035,2441,766,2347,67,6671,235
13,pumpkin,MeOH:CHCl3:H2O (5:2:2) , fresh frozen,pumpkin_MeOH:CHCl3:H2O (5:2:2) _ fresh frozen,3,P07,28,2896,1336,15508,999,3206,5983,2734,46345,64,390,8696,7606,31893,648,540,24,284165,2138,231,407,229,24614,391,745,1270,1094,1960,117961,334,1110,661,257075,125,1340,2188,3737,1996,21621,2593,111,43,3066,2057,2581,2281,9331,95153,2407,528,881,810,6215,4646,1345,122,1045,851,923,826,252,3635,465,22663,1647,7661,305,671678,272,1241,55744,201,617,4594,38550,988,1394,4217,10896,5590,618,191218,337,131,1100,916,655,11457,3068,69724,13839,2200,149359,14818,258190,2167,2624,4620,100,869,136,491,645,779047,85835,111153,2250,1635,20730,898,301,92762,8355,65,1587,125,364,989,65,287,56932,1214,15912,1181,1030,2591,18563,1788,666,101,265,157,949,122999,4644,92,188,2050,3454,68482,5635,1251,1711,675,2118,151,705,759,10627,351,215,21989,513,175,144,6560,2613,11696,52926,29165,23024,871,42811,22661,7790,459,6955,127,3668,34238,8004,19087,18902,29467,3351,252,24808,31191,37411,19007,909,21821,360,753,3735,3834,18123,12705,19230,16945,1161,821,9683,525,145,1883,230,806,16600,316,4721,770,4850,800,404,3011,18760,16681,10753,10220,812,15475,13032,10477,8747,10460,8599,2979,14011,1994,2565,1212,8771,7822,9581,11289,3308,5055,9225,13731,4925,12788,1197,3413,7235,287,1197,7121,4779,10389,1263,22,1406,1430,415,1690,46,5428,166
14,pumpkin,MeOH:CHCl3:H2O (5:2:2) , fresh frozen,pumpkin_MeOH:CHCl3:H2O (5:2:2) _ fresh frozen,3,P08,70,1375,1248,13807,1099,2930,5382,2044,51492,104,447,9777,9228,46302,681,581,19,165210,2290,191,332,278,18476,371,700,2171,1029,14750,77576,282,939,626,277788,72,1747,2936,4024,1326,19731,2634,246,39,2969,2052,1760,2604,8547,105988,4298,598,584,1289,10168,6356,1224,148,1351,760,475,1043,175,1172,822,22355,1782,22989,333,766386,216,1045,53145,260,577,3945,27101,833,1243,5578,9605,7209,329,181646,492,162,948,85,319,8935,4535,54183,10710,1812,130527,10524,289233,3276,3801,4999,129,871,147,682,1024,784669,71024,119353,2117,2185,26262,1119,258,78063,7636,72,4865,128,448,705,58,241,67803,1988,19281,1554,127,1460,30560,1338,1174,129,189,88,704,148649,3426,182,186,1121,2879,50319,7893,623,1594,590,1766,100,360,372,11042,168,150,60661,618,127,144,5641,114414,7453,98007,32034,28836,932,47566,24006,11440,4393,5669,137,3128,21655,7129,19310,20730,28638,3132,225,25304,35578,23588,20002,2081,23545,1222,801,2961,2483,19835,10224,16988,20519,1441,842,14988,498,219,1886,165,702,17236,109,5152,837,3988,235,985,2696,20663,17353,7780,11414,1071,14698,14634,14479,10246,6631,8022,3784,15133,1981,2349,1394,9768,7512,10712,11036,3557,5668,10624,13203,3685,14556,1301,2626,8085,332,1301,6903,4287,9732,1226,167,1314,804,174,1369,72,4332,149
